title,release_date,genre,director,duration,imdb_id,country,year
Grin and Bear It,1954-01-01T00:00:00Z,,Jack Hannah,7,tt0047053,United States,1954
Bugs and Thugs,1954-01-01T00:00:00Z,heist film,Friz Freleng,7,tt0046811,United States,1954
Baby Butch,1954-08-14T00:00:00Z,,Joseph Barbera,7,tt0046740,United States,1954
Under the Counter Spy,1954-05-10T00:00:00Z,,Don Patterson,,tt0153428,United States,1954
Zolotaya antilopa,1954-01-01T00:00:00Z,fairy tale,Lev Atamanov,31,tt0145799,Soviet Union,1954
Feline Frame-Up,1954-01-01T00:00:00Z,,Chuck Jones,7,tt0046973,United States,1954
Bewitched Bunny,1954-01-01T00:00:00Z,,Chuck Jones,7,tt0046771,United States,1954
Devil May Hare,1954-01-01T00:00:00Z,,Robert McKimson,7,tt0046908,United States,1954
Q4214076,1954-01-01T00:00:00Z,,Yevgeniy Migunov,,tt7972494,Soviet Union,1954
Design for Leaving,1954-01-01T00:00:00Z,,Robert McKimson,,tt0046902,United States,1954
The Little Straw Bull,1954-01-01T00:00:00Z,,Olga Khodataeva,,tt4857740,Soviet Union,1954
Goo Goo Goliath,1954-01-01T00:00:00Z,,Friz Freleng,,tt0047039,United States,1954
A Fine Feathered Frenzy,1954-01-01T00:00:00Z,,Don Patterson,,tt0150554,United States,1954
In the Heart of the Forest,1954-01-01T00:00:00Z,,Aleksandr Ivanov,,tt4338874,Soviet Union,1954
Q4462867,1954-01-01T00:00:00Z,fairy tale,"Olga Khodataeva, Pyotr Nosov",,tt4860040,Soviet Union,1954
Mice Follies,1954-01-01T00:00:00Z,musical film,Joseph Barbera,7,tt0047233,United States,1954
Donald's Diary,1954-01-01T00:00:00Z,,Jack Kinney,7,tt0046924,United States,1954
Spare the Rod,1954-01-01T00:00:00Z,,Jack Hannah,,tt0047518,United States,1954
The Orange Neck,1954-01-01T00:00:00Z,fairy tale,"Alexandra Snezhko-Blotskaya, Vladimir Polkovnikov",,tt4585046,Soviet Union,1954
Baby Buggy Bunny,1954-01-01T00:00:00Z,,Chuck Jones,7,tt0046739,United States,1954
Neapolitan Mouse,1954-01-01T00:00:00Z,,"Joseph Barbera, William Hanna",,tt0047275,United States,1954
Grand Canyonscope,1954-12-23T00:00:00Z,,Charles August Nichols,7,tt0047043,United States,1954
Little Boy Boo,1954-01-01T00:00:00Z,,Robert McKimson,,tt0047181,United States,1954
Captain Hareblower,1954-01-16T00:00:00Z,pirate film,Friz Freleng,,tt0046825,United States,1954
Fright to the Finish,1954-01-01T00:00:00Z,comedy film,"Al Eugster, Seymour Kneitel",6,tt0150648,United States,1954
"Touché, Pussy Cat!",1954-12-18T00:00:00Z,film based on a novel,"Joseph Barbera, William Hanna",7,tt0047600,United States,1954
Dime to Retire,1954-01-01T00:00:00Z,,Robert McKimson,,tt0047996,United States,1954
Bell Hoppy,1954-01-01T00:00:00Z,,Robert McKimson,,tt0046763,United States,1954
The Lone Chipmunks,1954-01-01T00:00:00Z,,Jack Kinney,7,tt0047187,United States,1954
Bird-Brain Bird Dog,1954-01-01T00:00:00Z,,Dick Lundy,,tt0046781,United States,1954
From A to Z-Z-Z-Z,1954-01-01T00:00:00Z,,Chuck Jones,7,tt0047001,United States,1954
Yankee Doodle Bugs,1954-01-01T00:00:00Z,,Friz Freleng,7,tt0047683,United States,1954
Real Gone Woody,1954-01-01T00:00:00Z,,Paul J. Smith,,tt0152152,United States,1954
Drag-A-Long Droopy,1954-01-01T00:00:00Z,,Tex Avery,7,tt0046930,,1954
Johnny Guitar,1954-08-23T00:00:00Z,"Western film, drama film",,110,tt0047136,United States,1954
The Tsarevna-Frog,1954-01-01T00:00:00Z,fairy tale,Mikhail Tsekhanovsky,40,tt3065832,Soviet Union,1954
The Oily Bird,1954-07-30T00:00:00Z,comedy film,Isadore Sparber,,tt0151809,United States,1954
The Alaskan Eskimo,1954-09-13T00:00:00Z,documentary film,James Algar,27,tt0045485,United States,1954
Rear Window,1954-09-01T00:00:00Z,"crime drama film, crime thriller film, drama film, film based on literature, psychological drama film, psychological thriller film, thriller film",Alfred Hitchcock,112,tt0047396,United States,1954
Les Intrigantes,1954-01-01T00:00:00Z,drama film,Henri Decoin,96,tt0047120,France,1954
Variety Lights,1954-01-01T00:00:00Z,"comedy film, romance film",Federico Fellini,100,tt0042692,Italy,1954
"No Ifs, Ands or Butts",1954-12-17T00:00:00Z,,Isadore Sparber,6,tt0151768,United States,1954
Muzzle Tough,1954-01-01T00:00:00Z,,Friz Freleng,7,tt0047255,United States,1954
Dr. Jerkyl's Hide,1954-01-01T00:00:00Z,,Friz Freleng,,tt0046920,United States,1954
Q57019402,1954-01-01T00:00:00Z,animated film,Eduard Hofman,25,,Czechoslovakia,1954
Elephant Walk,1954-08-23T00:00:00Z,"adventure film, drama film",William Dieterle,103,tt0046951,United States,1954
I Vitelloni,1954-04-23T00:00:00Z,drama film,Federico Fellini,100,tt0046521,France,1954
Look Who's Driving,1954-01-12T00:00:00Z,animated cartoon,William T. Hurtz,,tt3413946,United States,1954
The Egg and Jerry,1956-01-01T00:00:00Z,,Joseph Barbera,8,tt0049173,United States,1956
Napoleon Bunny-Part,1956-01-01T00:00:00Z,,Friz Freleng,,tt0049541,United States,1956
Get Lost,1956-01-01T00:00:00Z,,Paul J. Smith,,tt0150713,United States,1956
Lucky Dog,1956-01-01T00:00:00Z,"animated cartoon, comedy film",Connie Rasinski,,tt0151406,United States,1956
Little Shego,1956-01-01T00:00:00Z,fairy tale,Dmitriy Babichenko,,tt7997164,Soviet Union,1956
Q60860829,1956-01-01T00:00:00Z,,Witold Giersz,,tt12978974,Poland,1956
Rocket Squad,1956-01-01T00:00:00Z,parody film,Chuck Jones,7,tt0049686,United States,1956
Woody Meets Davy Crewcut,1956-01-01T00:00:00Z,,Alex Lovy,,tt0153921,United States,1956
Mouseum,1956-02-24T00:00:00Z,"animated cartoon, comedy film",Seymour Kneitel,,tt0151647,United States,1956
The Star of Bethlehem,1956-01-01T00:00:00Z,,"Lotte Reiniger, Vivian Milroy",,tt0809463,United Kingdom,1956
In the Bag,1956-01-01T00:00:00Z,,Jack Hannah,7,tt0049361,United States,1956
Q4293085,1956-01-01T00:00:00Z,adventure film,Lieŭ Holub,93,tt3156632,Soviet Union,1956
Raw! Raw! Rooster!,1956-01-01T00:00:00Z,,Robert McKimson,,tt0049662,United States,1956
Arts and Flowers,1956-01-01T00:00:00Z,,Paul J. Smith,,tt0149714,United States,1956
Woodpecker from Mars,1956-01-01T00:00:00Z,science fiction film,Paul J. Smith,,tt0153918,United States,1956
I know,1956-01-01T00:00:00Z,,He Yumen,20,,People's Republic of China,1956
Sleuth but Sure,1956-03-23T00:00:00Z,"animated cartoon, comedy film",David Tendlar,,tt0152474,United States,1956
Lion in the Roar,1956-12-21T00:00:00Z,"animated cartoon, comedy film",Seymour Kneitel,,tt0151344,United States,1956
The Jackal and The Camel,1956-01-01T00:00:00Z,fairy tale,Vladimir Polkovnikov,630,tt8154940,Soviet Union,1956
Broom-Stick Bunny,1956-01-01T00:00:00Z,,Chuck Jones,7,tt0049032,United States,1956
Wideo Wabbit,1956-01-01T00:00:00Z,comedy film,Robert McKimson,7,tt0049952,United States,1956
Rocket-bye Baby,1956-01-01T00:00:00Z,science fiction film,Chuck Jones,7,tt0049685,United States,1956
The Flying Sorceress,1956-01-27T00:00:00Z,"animated cartoon, fantasy film",Joseph Barbera,6,tt0049221,United States,1956
Barbecue Brawl,1956-01-01T00:00:00Z,"animated film, short film","Joseph Barbera, William Hanna",7,tt0048986,United States,1956
Stupor Duck,1956-07-07T00:00:00Z,superhero film,Robert McKimson,7,tt0049807,United States,1956
A Short Vision,1956-01-01T00:00:00Z,,Peter Foldes,6,tt1446470,United Kingdom,1956
Blue Cat Blues,1956-01-01T00:00:00Z,comedy drama,Joseph Barbera,6,tt0049020,United States,1956
"Deduce, You Say!",1956-01-01T00:00:00Z,mystery film,Chuck Jones,7,tt0049131,United States,1956
Chief Charlie Horse,1956-01-01T00:00:00Z,,Paul J. Smith,,tt0150107,United States,1956
Barbary Coast Bunny,1956-01-01T00:00:00Z,,Chuck Jones,7,tt0048985,United States,1956
Down Beat Bear,1956-01-01T00:00:00Z,,Joseph Barbera,6,tt0049161,United States,1956
Bugs' Bonnets,1956-01-01T00:00:00Z,,Chuck Jones,7,tt0049033,United States,1956
The Honey-Mousers,1956-01-01T00:00:00Z,comedy film,Robert McKimson,,tt0049325,United States,1956
Chips Ahoy,1956-01-01T00:00:00Z,,Jack Kinney,,tt0049069,United States,1956
Calling All Cuckoos,1956-01-01T00:00:00Z,,Paul J. Smith,,tt0150018,United States,1956
How to Have an Accident in the Home,1956-01-01T00:00:00Z,,Charles August Nichols,7,tt0049341,United States,1956
Millionaire Droopy,1956-01-01T00:00:00Z,,Tex Avery,,tt0049505,,1956
Busy Buddies,1956-01-01T00:00:00Z,,Joseph Barbera,7,tt0049039,United States,1956
Birds of a Feather,1956-01-01T00:00:00Z,,Sid Marcus,,tt0149892,,1956
Niagara Fools,1956-01-01T00:00:00Z,,Paul J. Smith,,tt0151746,United States,1956
Der Zauberbrunnen,1956-01-01T00:00:00Z,fairy tale,Vladimir Degtyaryov,,tt2480858,Soviet Union,1956
Destination Earth,1956-01-01T00:00:00Z,,Carl Urbano,,tt0417600,United States,1956
Gee Whiz-z-z-z-z-z-z,1956-01-01T00:00:00Z,,Chuck Jones,7,tt0049251,United States,1956
A Star Is Bored,1956-01-01T00:00:00Z,,Friz Freleng,7,tt0049792,United States,1956
Yankee Dood It,1956-01-01T00:00:00Z,,Friz Freleng,,tt0049969,United States,1956
Half-Fare Hare,1956-01-01T00:00:00Z,,Robert McKimson,,tt0049289,United States,1956
Muscle Beach Tom,1956-09-07T00:00:00Z,,Joseph Barbera,6,tt0049526,United States,1956
The Clever Girl,1956-01-26T00:00:00Z,,Gyula Macskássy,,tt3494204,Hungary,1956
After the Ball,1956-01-01T00:00:00Z,,Paul J. Smith,,tt0149598,United States,1956
Rabbitson Crusoe,1956-01-01T00:00:00Z,,Friz Freleng,,tt0049650,United States,1956
Gerald McBoing! Boing! on Planet Moo,1956-01-01T00:00:00Z,,Robert Cannon,8,tt0049258,United States,1956
The Proud General,1956-01-01T00:00:00Z,,Te Wei,25,tt6824904,People's Republic of China,1956
Hooked Bear,1956-01-01T00:00:00Z,,Jack Hannah,6,tt0049328,United States,1956
The Man Who Knew Too Much,1956-10-11T00:00:00Z,"crime film, crime thriller film, drama film, film noir, mystery film, political thriller film, psychological drama film, psychological thriller film, thriller film",Alfred Hitchcock,120,tt0049470,United States,1956
The Killing,1956-06-06T00:00:00Z,"drama film, film based on literature, film noir, flashback film",Stanley Kubrick,85,tt0049406,United States,1956
Gaby,1956-01-01T00:00:00Z,drama film,Curtis Bernhardt,96,tt0049247,United States,1956
Alexander the Great,1956-01-01T00:00:00Z,"biographical film, drama film, historical film",Robert Rossen,130,tt0048937,Spain,1956
The Battle of the River Plate,1956-12-24T00:00:00Z,war film,"Emeric Pressburger, Michael Powell",112,tt0048990,United Kingdom,1956
Attack,1956-10-17T00:00:00Z,war film,Robert Aldrich,107,tt0048966,United States,1956
Michel Strogoff,1956-01-01T00:00:00Z,adventure film,Carmine Gallone,111,tt0049501,France,1956
Aparajito,1956-10-11T00:00:00Z,drama film,Satyajit Ray,105,tt0048956,India,1956
Tea and Sympathy,1956-01-01T00:00:00Z,drama film,Vincente Minnelli,122,tt0049829,United States,1956
Dopey Dick the Pink Whale,1957-01-01T00:00:00Z,,Paul J. Smith,,tt0150373,United States,1957
Steal Wool,1957-01-01T00:00:00Z,,Chuck Jones,7,tt0051008,United States,1957
Once Upon a Time,1957-01-01T00:00:00Z,,"Ivan Ivanov-Vano, Mikhail Botov",30,tt1070879,Soviet Union,1957
The Tale of the Snow Maiden,1957-01-01T00:00:00Z,fairy tale,"Vladimir Danilevich, Vladimir Degtyaryov",,tt6295292,Soviet Union,1957
Mucho Mouse,1957-01-01T00:00:00Z,,Joseph Barbera,7,tt0050732,United States,1957
Zoom and Bored,1957-01-01T00:00:00Z,,Chuck Jones,6,tt0051228,United States,1957
Bugsy and Mugsy,1957-01-01T00:00:00Z,,Friz Freleng,7,tt0050216,United States,1957
How the Mole Got His Trousers,1957-01-01T00:00:00Z,"animated film, children's film, family film, short film",Zdeněk Miler,14,tt0244558,Czechoslovakia,1957
Egér és oroszlán,1957-01-01T00:00:00Z,,Gyula Macskássy,10,tt3430528,Hungary,1957
Magic Brush,1957-10-25T00:00:00Z,,Jin Xi,,tt6860832,People's Republic of China,1957
Robin Hoodwinked,1957-01-01T00:00:00Z,comedy film,Joseph Barbera,6,tt0052140,United States,1957
Birds Anonymous,1957-01-01T00:00:00Z,"adventure film, comedy film, family film",Friz Freleng,7,tt0050194,United States,1957
"Cheese It, the Cat!",1957-01-01T00:00:00Z,parody film,Robert McKimson,7,tt0050247,United States,1957
A New Football,1957-01-01T00:00:00Z,,Zhang Chaoqun,20,,People's Republic of China,1957
Gonzales' Tamales,1957-01-01T00:00:00Z,,Friz Freleng,,tt0050449,United States,1957
"What's Opera, Doc?",1957-07-06T00:00:00Z,musical film,Chuck Jones,6.49,tt0051189,United States,1957
Q56307937,1957-01-01T00:00:00Z,,Anatoli Karanovich,1825,tt7003564,Soviet Union,1957
Grin and Share It,1957-01-01T00:00:00Z,,Michael Lah,7,tt0050459,,1957
Tweety and the Beanstalk,1957-01-01T00:00:00Z,,Friz Freleng,6,tt0051119,United States,1957
International Woodpecker,1957-01-01T00:00:00Z,,Paul J. Smith,,tt0151068,United States,1957
Show Biz Bugs,1957-01-01T00:00:00Z,"comedy film, family film",Friz Freleng,7,tt0050965,United States,1957
Greedy for Tweety,1957-01-01T00:00:00Z,,Friz Freleng,,tt0050455,United States,1957
The Unbearable Salesman,1957-06-03T00:00:00Z,,Paul J. Smith,,tt0153417,United States,1957
Alfonsina,1957-01-01T00:00:00Z,biographical film,Kurt Land,90,tt0189346,Argentina,1957
Feedin' the Kiddie,1957-01-01T00:00:00Z,,Joseph Barbera,,tt0050384,United States,1957
Timid Tabby,1957-01-01T00:00:00Z,,Joseph Barbera,,tt0051086,United States,1957
Scrambled Aches,1957-01-01T00:00:00Z,,Chuck Jones,7,tt0050942,United States,1957
Box Car Bandit,1957-01-01T00:00:00Z,,Paul J. Smith,,tt0149945,United States,1957
Ducking the Devil,1957-01-01T00:00:00Z,,Robert McKimson,6,tt0050341,United States,1957
Q57393349,1957-01-01T00:00:00Z,,Todor Dinov,,,People's Republic of Bulgaria,1957
Pest Pupil,1957-01-25T00:00:00Z,comedy film,David Tendlar,6,tt0147167,United States,1957
A Miracle Maker,1957-09-01T00:00:00Z,,Aleksandr Ivanov,20,tt3450914,Soviet Union,1957
Red Riding Hoodlum,1957-02-11T00:00:00Z,,Paul J. Smith,,tt0152158,United States,1957
Bedeviled Rabbit,1957-01-01T00:00:00Z,,Robert McKimson,7,tt0050176,United States,1957
Fodder and Son,1957-01-01T00:00:00Z,,Paul J. Smith,,tt0150604,United States,1957
Boston Quackie,1957-01-01T00:00:00Z,,Robert McKimson,,tt0050207,United States,1957
Touché and Go,1957-01-01T00:00:00Z,romantic comedy,Chuck Jones,,tt0051101,United States,1957
Verlioka,1957-01-01T00:00:00Z,,Alexandra Snezhko-Blotskaya,10,tt4109038,Soviet Union,1957
To Catch a Woodpecker,1957-07-29T00:00:00Z,,Alex Lovy,,tt0153118,United States,1957
Mouse-Taken Identity,1957-01-01T00:00:00Z,,Robert McKimson,,tt0050729,United States,1957
Tabasco Road,1957-01-01T00:00:00Z,,Robert McKimson,6,tt0051044,United States,1957
Rabbit Romeo,1957-01-01T00:00:00Z,,Robert McKimson,,tt0050875,United States,1957
Round Trip to Mars,1957-01-01T00:00:00Z,,Paul J. Smith,,tt0152233,United States,1957
Three Little Bops,1957-01-01T00:00:00Z,,Friz Freleng,7,tt0051078,United States,1957
Tops with Pops,1957-01-01T00:00:00Z,,"Joseph Barbera, William Hanna",8,tt0051098,United States,1957
Go Fly a Kit,1957-01-01T00:00:00Z,,Chuck Jones,,tt0050446,United States,1957
Tweet Zoo,1957-01-01T00:00:00Z,,Friz Freleng,7,tt0051118,United States,1957
Tom's Photo Finish,1957-01-01T00:00:00Z,,Joseph Barbera,,tt0051096,United States,1957
Spooky Swabs,1957-01-01T00:00:00Z,,Isadore Sparber,,tt0152566,United States,1957
Ali Baba Bunny,1957-01-01T00:00:00Z,,Chuck Jones,7,tt0050111,United States,1957
Boyhood Daze,1957-04-20T00:00:00Z,,Chuck Jones,7,tt0050209,United States,1957
Piker's Peak,1957-01-01T00:00:00Z,,Friz Freleng,,tt0050844,United States,1957
Q56364194,1957-01-01T00:00:00Z,,"Aleksei Shvachko, Leonid Varpakhovsky",,,Soviet Union,1957
Sayonara,1957-01-01T00:00:00Z,"drama film, film based on a novel",Joshua Logan,147,tt0050933,United States,1957
12 Angry Men,1957-04-10T00:00:00Z,"drama film, huis-clos film, trial film",Sidney Lumet,95,tt0050083,United States,1957
Nights of Cabiria,1957-05-10T00:00:00Z,drama film,Federico Fellini,111,tt0050783,France,1957
Spooking About Africa,1957-01-04T00:00:00Z,"animated cartoon, comedy film",Seymour Kneitel,,tt0149086,United States,1957
The Giant Claw,1957-01-01T00:00:00Z,"fantasy film, horror film, monster film",Fred F. Sears,75,tt0050432,United States,1957
From Mad to Worse,1957-08-16T00:00:00Z,animated cartoon,Seymour Kneitel,,tt0150654,United States,1957
I theia ap' to Chicago,1957-12-16T00:00:00Z,comedy film,Alekos Sakellarios,70,tt0135673,Greece,1957
The Devil Came at Night,1957-09-19T00:00:00Z,"crime film, drama film",Robert Siodmak,101,tt0050746,Germany,1957
Silk Stockings,1957-01-01T00:00:00Z,musical film,Rouben Mamoulian,117,tt0050972,United States,1957
Invasion of the Body Snatchers,1957-05-27T00:00:00Z,"alien invasion, film based on a novel, horror film",Don Siegel,80,tt0049366,United States,1957
The Pride and the Passion,1957-01-01T00:00:00Z,"film based on literature, war film",Stanley Kramer,134,tt0050858,United States,1957
Topsy TV,1957-01-01T00:00:00Z,"animated cartoon, comedy film","Connie Rasinski, Gene Deitch",,tt0153188,United States,1957
